ResponseTime,ResponseSize,DownloadSpeed,Type
404608,169,70.15732658987557,GraphQL
422277,169,70.69351607652143,GraphQL
394954,169,95.70952921114599,GraphQL
405417,169,71.63980067325623,GraphQL
364866,169,78.55531677291451,GraphQL
371984,169,75.67105597989267,GraphQL
422277,169,81.16391012508913,GraphQL
406762,169,69.9387928666758,GraphQL
388944,169,69.14349091678666,GraphQL
374837,169,93.180144886486,GraphQL
188387,7364,81.04704817365575,GraphQL
896976,7364,68.71621017204232,GraphQL
20017,7364,62.488954273028064,GraphQL
807258,7364,80.24498572576601,GraphQL
878642,7364,63.999280399645016,GraphQL
566262,7364,84.96757984101835,GraphQL
788379,7364,83.48684734943403,GraphQL
405797,7364,82.09701442143052,GraphQL
121525,7364,75.63606456857366,GraphQL
986915,7364,67.39147596510645,GraphQL
718398,19456,82.37037879133668,GraphQL
474448,19456,99.777739364732,GraphQL
410273,299,83.43428562217521,GraphQL
185776,19456,97.67650682947455,GraphQL
454430,19456,65.9531042219891,GraphQL
231341,19456,89.23880996866833,GraphQL
160301,19456,89.53942398464173,GraphQL
385750,19456,90.1706532484913,GraphQL
151600,19456,76.04899987788028,GraphQL
236593,19456,80.80320753804499,GraphQL
878446,132326,78.87385585270626,REST
95556,132326,66.79127772305772,REST
90384,132326,76.15174029097193,REST
92311,132326,84.8869168434431,REST
94648,132326,91.70356474898894,REST
968846,132326,91.24582433280774,REST
104587,132326,85.52349973561218,REST
94529,132326,69.13494110111075,REST
13501,132326,80.44257020531501,REST
91010,132326,90.12185481845242,REST
450370,529580,75.81611734821938,REST
98161,529580,70.79359772672781,REST
93905,529580,83.85036222524444,REST
214726,529580,98.79043690337869,REST
486100,529580,76.87037017848299,REST
805955,529580,68.29342580058633,REST
335769,529580,97.24722512281306,REST
100574,529580,99.33373405478797,REST
116502,529580,96.10530180406852,REST
871783,529580,90.85514361836364,REST
525866,529580,97.46644524382282,REST
103246,529580,93.96024025183489,REST
994966,529580,97.92742889158238,REST
